model_type,sequence_window,hidden_dim,learning_rate,dropout,num_layers,batch_size,weight_decay,random_seed,epochs_ran,best_epoch,final_train_loss,best_val_loss,is_default_config,validation_delta_n,validation_delta_MAE,validation_delta_RMSE,validation_delta_R2,validation_reconstructed_level_n,validation_reconstructed_level_MAE,validation_reconstructed_level_RMSE,validation_reconstructed_level_R2,asean_validation_delta_n,asean_validation_delta_MAE,asean_validation_delta_RMSE,asean_validation_delta_R2,asean_validation_reconstructed_level_n,asean_validation_reconstructed_level_MAE,asean_validation_reconstructed_level_RMSE,asean_validation_reconstructed_level_R2,test_delta_n,test_delta_MAE,test_delta_RMSE,test_delta_R2,test_reconstructed_level_n,test_reconstructed_level_MAE,test_reconstructed_level_RMSE,test_reconstructed_level_R2,asean_test_delta_n,asean_test_delta_MAE,asean_test_delta_RMSE,asean_test_delta_R2,asean_test_reconstructed_level_n,asean_test_reconstructed_level_MAE,asean_test_reconstructed_level_RMSE,asean_test_reconstructed_level_R2
LSTM,7,48,0.001,0.05,1,256,0.0001,315,16,10,0.09385805837810039,0.16918863356113434,False,787,0.3016320462785803,0.4113254710512185,0.22128218739990613,787,0.3016320462785803,0.4113254710512185,0.5329817429530845,30,0.2184672648270925,0.3248203717470872,0.37885677771349646,30,0.2184672648270925,0.3248203717470872,0.11689461635958831,526,0.3580808016414198,0.44513788084503964,0.3769182495847415,526,0.3580808016414198,0.44513788084503964,0.4202543595866297,20,0.2186131314516067,0.23835815259882928,-0.8341145198878595,20,0.2186131314516067,0.23835815259882928,-0.8227945016557112
GRU,3,48,0.003,0.15,1,256,0.0001,87,9,3,0.11712813967218001,0.16708923876285553,False,789,0.3015245852704586,0.4087654827570268,0.22922932397413676,789,0.3015245852704586,0.4087654827570268,0.537623518250905,30,0.21921132747928296,0.3363630374684086,0.3339271004888098,30,0.21921132747928296,0.3363630374684086,0.05301620890262759,526,0.349078371701585,0.44694273535663553,0.3718553160555832,526,0.34907837170158507,0.44694273535663553,0.4155435593757809,20,0.1913308385848999,0.20731066317349803,-0.3874256183136875,20,0.1913308385848999,0.20731066317349803,-0.37886253071759746
GRU,7,48,0.001,0.05,2,256,0.001,174,13,7,0.10765388906002045,0.1606713980436325,False,787,0.2966198093515491,0.4008383670091025,0.2604841785769004,787,0.296619809351549,0.4008383670091025,0.5564922435426614,30,0.2201469234863917,0.3225467159134643,0.3875220172810606,30,0.2201469234863917,0.3225467159134643,0.129214351065025,526,0.3585474339113942,0.45249883402598406,0.35614087897188396,526,0.3585474339113942,0.45249883402598406,0.4009220809184949,20,0.1814079007357359,0.20775983505956847,-0.393444292854372,20,0.1814079007357359,0.20775983505956847,-0.38484405844722125
GRU,5,16,0.001,0.15,2,256,0.001,98,20,14,0.13297230716456065,0.17427285015583038,False,789,0.30408141248545717,0.4174599993309755,0.19609174490313552,789,0.30408141248545717,0.4174599993309755,0.5177446649147437,30,0.2202817833840847,0.3462128718288135,0.2943462505164731,30,0.2202817833840847,0.3462128718288135,-0.0032575464012840616,526,0.36947064051474,0.47921557661392766,0.27786602930081616,526,0.36947064051474,0.47921557661392766,0.3280913443087805,20,0.1628303725749254,0.20089550227004688,-0.30288731230754196,20,0.1628303725749254,0.20089550227004688,-0.2948459888406423
GRU,3,48,0.003,0.05,2,256,0.0001,85,11,5,0.09912184812128544,0.16546383500099182,False,789,0.2944807249604995,0.40677247220931656,0.23672706657880127,789,0.2944807249604995,0.40677247220931656,0.5421213279813943,30,0.22032336585968737,0.3449723667207569,0.29939400524136806,30,0.22032336585968731,0.3449723667207569,0.003919058305826284,526,0.3583139821250176,0.45299343858160884,0.3547325672826326,526,0.3583139821250176,0.45299343858160884,0.39961171905724224,20,0.15491459355205295,0.18399682673654227,-0.0929167794585879,20,0.15491459355205295,0.18399682673654227,-0.08617137848414469
LSTM,7,24,0.003,0.15,2,256,0.0001,313,10,4,0.11592737957835197,0.16546230018138885,False,787,0.29782858844853116,0.40677057681574275,0.23843326821316824,787,0.29782858844853116,0.40677057681574275,0.5432677127078228,30,0.22058454608917233,0.3222807304073986,0.38853175067374723,30,0.22058454608917233,0.3222807304073986,0.1306499314000087,526,0.36098601935458274,0.4708133106582045,0.3029669214952647,526,0.36098601935458274,0.4708133106582045,0.351446438259966,20,0.21410703004598625,0.23855609052963073,-0.8371619639762242,20,0.21410703004598625,0.23855609052963073,-0.8258231371461029
GRU,3,48,0.001,0.05,1,256,0.001,76,14,8,0.1159314267958204,0.16615386307239532,False,789,0.300784413089997,0.40761973252199873,0.23354413558009346,789,0.300784413089997,0.4076197325219987,0.5402119242085098,30,0.2207299887955189,0.33915283122559875,0.32283246888028316,30,0.22072998879551883,0.33915283122559875,0.03724250558999975,526,0.3374280089670261,0.44003015213590013,0.3911352988055147,526,0.3374280089670261,0.44003015213590013,0.4334825953675564,20,0.1599415870130062,0.17964466836668772,-0.04182576187829601,20,0.1599415870130062,0.17964466836668772,-0.03539569085966354
GRU,7,48,0.001,0.05,2,256,0.0001,173,14,8,0.10290934853255748,0.16228000819683075,False,787,0.2932482806901617,0.4028399355268399,0.2530802604691891,787,0.2932482806901617,0.4028399355268399,0.552051912431657,30,0.22074228412111602,0.3282639910324797,0.36561672698044023,30,0.22074228412111602,0.3282639910324797,0.09807068065118085,526,0.3662107946198476,0.45530719680198156,0.3481240578207966,526,0.3662107946198476,0.45530719680198156,0.3934628396404136,20,0.23913870507180696,0.2639444379507501,-1.2490103638800547,20,0.23913870507180696,0.2639444379507501,-1.2351296393956486
GRU,5,48,0.001,0.05,1,256,0.001,124,12,6,0.10748686573722145,0.18390756845474243,False,789,0.3136070963959428,0.42884447562696815,0.15164740640482144,789,0.3136070963959428,0.4288444756269682,0.4910830163755524,30,0.22090995501677194,0.3517533561597595,0.27158021689961875,30,0.22090995501677194,0.3517533561597595,-0.03562497170647294,526,0.36358994770118036,0.4612211003668445,0.331079880652972,526,0.36358994770118036,0.4612211003668445,0.3776041061742289,20,0.1942949400424957,0.22317912334686896,-0.6079537843823801,20,0.1942949400424957,0.22317912334686896,-0.5980296133678173
GRU,5,16,0.003,0.15,1,256,0.0001,103,12,6,0.10960707170042125,0.17378097772598267,False,789,0.3028484079188872,0.4168704670341233,0.1983606820067254,789,0.3028484079188872,0.4168704670341233,0.5191057742406422,30,0.22114082745611668,0.34543304974242667,0.2975215492066171,30,0.22114082745611668,0.34543304974242667,0.0012569089889077345,526,0.34145973516405764,0.44126068082610087,0.38772520033451696,526,0.34145973516405764,0.44126068082610087,0.43030967348270965,20,0.1420177525639534,0.16943593577579788,0.07321823838018648,20,0.1420177525639534,0.16943593577579788,0.07893826639643053
GRU,3,24,0.001,0.05,2,256,0.001,62,18,12,0.11919851197550695,0.17949794232845306,False,789,0.3101957103131086,0.4236719590334093,0.17198883285579347,789,0.3101957103131086,0.4236719590334093,0.5032856046274217,30,0.22130310366749764,0.33095316332464086,0.35518028746145913,30,0.22130310366749764,0.33095316332464086,0.08323275665142638,526,0.3395795527069967,0.4299176824794991,0.4187987503910735,526,0.3395795527069967,0.4299176824794991,0.4592220195198856,20,0.15643088691532608,0.1840032171629642,-0.09299269734992444,20,0.15643088691532608,0.1840032171629642,-0.08624682781590942
LSTM,7,24,0.003,0.05,2,256,0.001,310,11,5,0.09202913083136081,0.17498745024204254,False,787,0.30537400035183343,0.41831501205779553,0.19459225373488198,787,0.30537400035183343,0.41831501205779553,0.516975063640949,30,0.22130371131300927,0.3438029362275123,0.3041359578910544,30,0.22130371131300927,0.3438029362275123,0.010660891370494863,526,0.3505856479286808,0.4606659779134872,0.3326891266776013,526,0.3505856479286808,0.4606659779134872,0.37910142713814676,20,0.1659849112063646,0.19377899027124407,-0.2122154214224823,20,0.1659849112063646,0.19377899027124407,-0.20473371811388397
GRU,7,16,0.001,0.05,2,256,0.001,142,15,9,0.12967853173613547,0.16315779089927673,False,787,0.2994104930772866,0.4039279599633033,0.24904012285135835,787,0.2994104930772866,0.4039279599633033,0.5496289319912726,30,0.22143374132514002,0.34635088899826233,0.2937835230520457,30,0.22143374132513996,0.34635088899826233,-0.004057599650724608,526,0.36659065416749886,0.48317564537762436,0.265881794654408,526,0.3665906541674989,0.48317564537762436,0.3169406280740078,20,0.18887005278170108,0.20200161641925543,-0.317273990751628,20,0.18887005278170108,0.20200161641925543,-0.30914387377673225
LSTM,7,48,0.001,0.05,2,256,0.0001,317,11,5,0.11266389787197113,0.15269847214221954,False,787,0.2920959849483327,0.39076651712177013,0.2971808447325912,787,0.2920959849483327,0.39076651712177013,0.5785002325601982,30,0.22147958531379694,0.3262902104300242,0.3732226114443551,30,0.22147958531379694,0.3262902104300242,0.10888428575292353,526,0.3813717074539838,0.47590233744366023,0.28781700581461933,526,0.38137170745398385,0.47590233744366023,0.3373502180406597,20,0.21602143698036674,0.2562870763353726,-1.120409986946854,20,0.21602143698036674,0.2562870763353726,-1.1073229744121433
