Area,Year,Temperature_Change,Artificial surfaces (including urban and associated areas),Grassland,Herbaceous crops,Inland water bodies,Mangroves,Permanent snow and glaciers,Shrub-covered areas,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Sparsely natural vegetated areas,Terrestrial barren land,Tree-covered areas,Woody crops,AFOLU,Agricultural Soils,Agrifood Systems Waste Disposal,Agrifood systems,All sectors with LULUCF,All sectors without LULUCF,Burning - Crop residues,Crop Residues,Drained organic soils,Drained organic soils (CO2),Drained organic soils (N2O),Emissions from crops,Emissions from livestock,Emissions on agricultural land,Energy,Enteric Fermentation,Farm gate,Fertilizers Manufacturing,Fires in humid tropical forests,Fires in organic soils,Food Household Consumption,Food Packaging,Food Processing,Food Retail,Food Transport,Forest fires,Forestland,IPCC Agriculture,IPPU,International bunkers,LULUCF,Land-use change,Manure Management,Manure applied to Soils,Manure left on Pasture,Net Forest conversion,On-farm energy use,Other,Pesticides Manufacturing,Pre- and post-production,Rice Cultivation,Savanna fires,Synthetic Fertilizers,Waste
Brunei Darussalam,1994,0.457,1.11,10.53,27.8,16.56,19.29,0.0,7.64,0.0,0.23,0.0,498.68,27.8,507.6553333333334,26.129,104.74473333333331,561.06505,2575.28855,2218.58245,0.0587333333333333,0.1855,331.0947,318.0302,13.0645,5.045066666666666,18.221666666666668,520.9073999999999,2873.2163333333333,9.0356,152.0995,,8.9254,117.509,68.079075,0.0,,1.4846499999999998,27.205,8.9254,2.3705,32.0472,2.0878,,475.6081333333333,368.8079,3.6138,5.0085,7.8705,844.6295,14.042233333333334,14.204,2.4780333333333333,170.3845,7.294,0.0689333333333333,0.0,40.59333333333333
Cambodia,1994,0.391,5.01,1013.75,5763.2,428.99,43.21,0.0,1470.96,472.11,0.26,1.77,8856.42,178.43,15010.044533333334,1618.3285,848.9805,11179.503475,12628.50435,8992.7064,51.030033333333336,239.772,0.0,0.0,0.0,4590.003,4774.3786,13781.642566666667,1100.0200000000002,4794.5226,10162.313933333333,,1680.7160666666666,0.0,10.751633333333332,,,321.3429,44.90236666666667,3156.1750666666667,-741.1711,9123.7803,10.201266666666667,,-1273.1920499999997,3619.328633333333,789.2865666666667,318.5035,755.833,5815.8377,0.0,482.3,5.4989333333333335,843.2715499999999,6530.8404,797.9323333333333,33.0985,396.20666666666665
Indonesia,1994,0.344,756.62,9062.39,22351.03,5499.96,4277.56,0.0,6732.38,0.0,1599.51,0.0,123851.0,17024.95,584512.8305,21609.425,44662.59916666666,480217.7096,546306.142375,169685.63390000002,484.13183333333336,3420.991,195263.1621,187393.0596,7870.1025,51291.82713333333,25526.2176,588849.8845333332,118999.66666666669,24873.24,147064.59306666665,1263.3815,2880.8240666666666,147476.45415,1389.9836249999998,210.59086666666667,684.2596666666667,545.64185,1636.4210333333333,2931.9108666666666,-105636.58025,76121.21626666667,6045.0695,,415526.620975,441785.2914666667,4070.474933333333,2604.844,6354.17,662498.92195,2248.0873333333334,2541.35,1244.5631,38580.2962,63543.9252,287.39046666666667,9098.6425,15141.366666666669
Lao People's Democratic Republic,1994,0.337,3.27,1293.59,2569.4,224.64,0.0,0.0,8063.66,88.67,0.0,0.0,10668.14,212.55,8984.479033333333,876.4345,274.95596666666665,6594.53125,9768.142366666669,5409.405266666668,22.963466666666665,126.034,0.0,0.0,0.0,1230.036,3239.749933333333,8387.3501,529.1999999999999,3319.68,4640.5834,,956.5566666666668,0.0,5.083,,,158.9278,19.1837,1662.5148666666666,-281.9634,4625.741933333334,7.46,,4358.7371,3746.7667,528.9069333333333,214.491,532.067,8370.6301,14.841466666666667,147.34,0.1835666666666666,304.018675,1680.7616,155.95413333333332,3.8425,151.26333333333335
Malaysia,1994,0.412,121.76,1504.85,832.77,602.19,625.45,0.0,1178.7,0.0,7.83,0.0,23070.02,5189.24,43007.49443333333,4029.6165,3785.582300000001,27772.195975,62313.196825,34631.91885,24.145433333333333,152.5605,21467.3526,20602.7901,864.5625,3515.7252000000003,2001.6662666666668,30870.815700000003,34699.13333333333,1528.688,12966.7205,85.4317,178.45126666666667,5410.96025,943.1738,0.0,,4.689525,736.6824333333334,185.02266666666665,-87726.394,5592.648566666667,1473.0410000000002,,5895.0129750000015,17904.0952,579.1392999999999,252.6775,383.508,89939.00565,0.0,506.15,344.2192333333334,4619.0842,3499.8824,5.376866666666667,1583.5605,3076.146666666667
Myanmar,1994,0.46,41.23,4310.46,17091.81,1254.8,440.81,1.31,14855.76,58.79,1.67,0.86,28191.62,971.66,75722.01763333332,6268.522,4179.609533333333,60535.44135,62044.135525000005,31802.53525,213.38426666666663,1365.81,14809.4425,14204.9245,604.518,18305.053866666665,16192.941133333334,76045.04863333334,4769.633333333334,17030.3168,40308.158266666665,41.3688,5869.366666666666,2248.38265,47.37275,0.1540333333333333,0.0,248.667625,65.25783333333332,7561.126,-5524.4725,35399.88393333334,125.9973,,40322.1337,35736.89036666667,2380.760066666667,1066.625,2621.327,85105.8058,173.2995,821.5,1.5522,3501.654875,25161.4524,498.8788,610.242,1518.2
Philippines,1994,0.359,79.33,2123.09,7235.7,1500.32,640.8,0.0,1399.93,0.0,145.85,0.0,11283.13,5967.59,34751.068933333336,6559.174,5995.7749,38524.5771,46700.88065,46070.1247,399.1904333333334,1013.1215,0.0,0.0,0.0,25289.688066666666,8593.416933333334,41768.06483333333,20971.1,8507.1224,34370.3175,68.9948,25.979466666666667,0.0,420.010875,30.790266666666668,785.8960000000001,1146.01415,595.3936666666667,42.896800000000006,-19720.9702,29712.433833333333,1324.30395,,-62.7440499999999,7397.747333333333,2292.90204,683.6735,1783.662,22115.3036,460.2565,749.95,79.15146666666666,7198.528475,34206.8748,26.938333333333333,2217.891,4279.966666666666
Singapore,1994,,8.58,3.73,23.01,9.69,6.11,0.0,1.12,0.0,0.16,0.0,9.23,4.6,-2.641900000000001,24.3005,128.9334,649.07965,17286.689575,17302.2701,,,0.0,0.0,0.0,16.536,7.125800000000001,26.1713,20496.14,0.6132,26.16756666666667,,0.0037333333333333,0.0,300.978375,9.820133333333333,,77.627175,195.7074666666667,0.0037333333333333,-62.3333,18.13213333333333,1270.021,,-20.77403333333333,0.0037333333333333,1.523,3.2065,4.558,0.0,8.035433333333332,139.39,,629.451175,,0.0,16.536,722.6700000000001
Thailand,1994,0.333,97.32,3933.8,24491.75,964.13,322.94,0.0,5481.44,11.46,30.3,0.24,11243.01,4962.02,51762.97363333334,9918.526000000002,10997.423266666665,54124.982050000006,88555.205975,86247.45659999999,427.29553333333337,1973.19,1141.7907,1093.8787,47.912,31260.114133333333,17192.095266666667,53351.0972,51331.6,17543.783600000002,51002.33696666666,557.6892,1387.6336,83.53829999999999,1375.187275,344.3689,2495.281166666666,1001.86055,1493.6705333333332,1726.5696,74.0301,56044.90656666667,4701.86325,,17426.686875,2348.7602333333334,4326.4079,1280.639,3063.2675,2716.3033,1951.7362666666663,1852.35,129.50813333333335,14111.65915,40192.9416,201.80793333333332,4083.0935,7474.983333333334
Viet Nam,1994,0.299,77.4,1835.58,9741.25,890.37,186.25,0.0,5644.03,56.97,6.2,18.65,11935.82,2403.22,13894.805566666668,8178.589,4150.9974,34730.399275,26809.8746,44766.804275,721.9171666666667,1656.727,4054.5601,3895.9841,158.576,26331.024466666662,11275.020666666664,39990.35436666667,16546.666666666668,9581.4894,39661.27586666667,82.9407,163.00206666666665,249.11465,206.6666333333333,0.0,0.0,1204.2277,181.5582,513.5782,-77762.6667,40873.9459,608.900425,,-14150.929675,329.0785,3186.90248,1017.9445,1800.145,0.0,525.2360333333334,530.0,144.33863333333332,4737.6335,32610.1692,125.616,4827.4255,4139.826666666667
