Area,Year,Temperature_Change,Artificial surfaces (including urban and associated areas),Grassland,Herbaceous crops,Inland water bodies,Mangroves,Permanent snow and glaciers,Shrub-covered areas,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Sparsely natural vegetated areas,Terrestrial barren land,Tree-covered areas,Woody crops,AFOLU,Agricultural Soils,Agrifood Systems Waste Disposal,Agrifood systems,All sectors with LULUCF,All sectors without LULUCF,Burning - Crop residues,Crop Residues,Drained organic soils,Drained organic soils (CO2),Drained organic soils (N2O),Emissions from crops,Emissions from livestock,Emissions on agricultural land,Energy,Enteric Fermentation,Farm gate,Fertilizers Manufacturing,Fires in humid tropical forests,Fires in organic soils,Food Household Consumption,Food Packaging,Food Processing,Food Retail,Food Transport,Forest fires,Forestland,IPCC Agriculture,IPPU,International bunkers,LULUCF,Land-use change,Manure Management,Manure applied to Soils,Manure left on Pasture,Net Forest conversion,On-farm energy use,Other,Pesticides Manufacturing,Pre- and post-production,Rice Cultivation,Savanna fires,Synthetic Fertilizers,Waste
Singapore,2007,,17.09,4.56,18.33,8.85,4.14,0.0,1.16,0.0,0.08,0.0,9.4,2.62,4.585166666666667,12.2165,155.85826666666665,1626.1526,12805.568375,12810.1517,,,0.0,0.0,0.0,0.265,10.537266666666667,10.696266666666668,10734.486666666666,0.3528,10.696266666666668,,0.0,0.0,348.46200000000005,7.509733333333333,,975.0212,229.4949333333333,0.0,-18.3333,10.696266666666668,3388.387,,-6.1111,0.0,2.316733333333333,4.9555,6.996,0.0,,93.45666666666666,,1618.1304,,0.0,0.265,1723.7133333333331
Thailand,2007,0.467,178.64,4056.27,24580.04,976.86,357.61,0.0,5255.69,12.74,30.98,0.18,10884.36,5205.02,56237.982533333336,12855.3355,11684.9044,62286.638325,130287.0019,126839.16555,471.7040666666667,2525.2115,1024.8169,981.5424,43.2745,38612.01273333334,12595.746333333334,60113.26993333333,86087.66666666667,11663.7136,56392.31776666667,576.0699,2815.6034,0.0,2630.01955,493.05556666666666,3972.7184333333335,299.255575,2132.064733333333,3290.934333333333,220.9537,51640.8674,13727.79,,4597.115133333334,3720.9521666666665,2567.172266666667,1127.893,2251.2545,2716.0463,4424.269566666667,1910.65,555.1143333333333,17201.685875,47777.576,404.241,6907.702,11812.866666666669
Viet Nam,2007,0.501,134.78,2055.06,8657.22,875.59,192.83,0.0,5805.43,58.47,6.18,18.4,10723.28,4268.51,54430.44446666667,13266.748,5027.382533333333,45071.807875,87487.6219,82417.35845,329.58746666666667,2351.186,4144.6232,3982.5227,162.1005,29864.57173333333,17435.6616,50042.26129999999,48047.1,14594.678,49807.00776666667,920.4108,212.09580000000005,34.7366,1890.0596666666663,0.0,0.0,1293.881875,860.8735666666666,1113.5748666666666,12888.3333,47670.0932,5070.091050000001,,6760.351266666666,235.2535333333333,4758.528600000001,1633.4335,2787.588,0.0,809.407,983.15,243.1875333333333,7540.1119,35618.8504,261.79286666666667,6332.44,6757.063333333334
Brunei Darussalam,2008,0.445,3.85,9.76,21.41,13.95,19.94,0.0,7.03,0.0,0.24,0.0,506.7,26.76,450.4562333333333,57.6375,111.38213333333331,670.7455,4474.215575,4181.72325,0.0568666666666666,0.1855,282.819,271.636,11.183,5.177733333333333,47.83526666666666,497.79856666666666,5382.759999999999,9.9316,151.0118,,0.0,0.0,115.1846,0.0,,64.847825,43.6422,0.0,-142.027,60.46646666666667,41.0204,,389.9897666666666,346.78676666666667,10.825666666666663,18.55,27.03,1040.3603,0.0,22.737,1.4612,297.396575,6.8068,0.0,0.689,62.552666666666674
Cambodia,2008,0.313,9.01,1235.01,6661.23,429.19,43.03,0.0,1616.17,642.66,0.27,1.89,7316.62,279.05,20518.387700000003,1976.317,1033.9633333333334,15094.2349,18211.970475,13836.08995,100.99186666666668,576.9315,0.0,0.0,0.0,8144.788933333333,5784.111533333333,18823.42643333333,2468.83,5858.076,14684.0042,,2276.557,0.0,64.34053333333334,,,97.08605,65.2183,4384.9518,-1239.929,13546.276833333332,265.35293333333334,,5834.507366666668,4139.422233333334,992.0375333333332,395.433,934.602,5588.5957,0.1238666666666666,585.65,9.249933333333331,976.665075,11419.4136,754.9798666666667,69.3505,639.6233333333333
Indonesia,2008,0.242,1021.19,9741.31,19113.93,5438.02,4401.94,0.0,7257.31,0.0,1749.91,0.0,120804.6,21627.16,117138.27523333336,38443.5235,47588.3424,183597.93595,268316.808925,249605.1989,673.9498666666667,4227.9955,267862.87855,263337.87105,9050.015,59710.84206666666,26388.754666666664,180847.96423333333,197621.0,23226.8904,167476.66853333332,6249.4465,168.49393333333333,40450.80176666666,5041.179025,307.9864,694.2247000000001,931.833675,2314.9564,175.65313333333333,-304085.83335,92189.46186666666,11818.4525,,24948.813366666665,13371.2957,4058.9990666666663,3053.383,7214.36,156663.5,3365.9593000000004,3233.0,2996.608066666666,47961.962775,69429.5728,56.521800000000006,14897.77,25083.2
Lao People's Democratic Republic,2008,0.199,6.75,1460.63,2939.64,227.77,0.0,0.0,7325.0,91.68,0.0,0.0,10846.85,225.6,-14792.995266666669,1176.8385,326.58806666666663,8090.675149999999,-13048.9334,7260.907666666666,42.02193333333333,242.5015,0.0,0.0,0.0,1666.8552666666667,3764.906466666667,9888.963366666663,1373.2,3757.1156,5625.496966666667,,543.4971333333334,0.0,21.439266666666665,,,373.401025,52.708333333333336,723.3811333333333,-74259.5744,5516.8458,83.5128,,-20309.841066666664,4263.4664,658.4360666666666,270.5915,631.9985,11159.9078,108.65116666666664,118.455,0.0,673.952625,2163.028,85.0664,31.747,236.2166666666667
Malaysia,2008,0.512,217.23,1624.06,746.04,583.95,682.25,0.0,1317.95,0.0,14.09,0.0,22808.76,5138.47,41552.97433333333,8124.277250000001,4196.9492,32003.574350000003,94821.75575,69673.48705,24.9327,156.933,27855.1504,26739.9244,1115.226,4994.841533333333,2282.041866666667,30014.711366666663,71484.5,1631.4648,17323.6884,1261.2358,37.75913333333333,2679.8572,2445.59645,0.0,,1590.0713,1666.8448,37.92313333333333,35779.5895,7364.428033333334,5203.549999999999,,-38875.143800000005,12691.022966666666,509.1256333333333,406.0065,648.6935,32600.0771,388.43086666666665,752.6,991.6248666666664,9492.540825,3289.3672,1.5662,4011.093,5951.733333333333
Myanmar,2008,0.495,64.88,4524.59,16832.4,1262.15,480.4,1.31,12773.67,60.25,3.73,1.15,29204.68,2011.58,82165.6873,8802.505,4776.598766666667,66480.14199999999,68771.091925,44588.6071,310.2464,2383.198,14773.4399,14172.5524,600.8875,25726.138266666665,23349.97133333333,83049.90776666667,6562.333333333333,23574.0204,54746.38646666667,174.86045,4769.879533333334,1279.04995,65.84855,0.2440666666666666,0.0,382.565125,85.18226666666666,5768.873466666667,-5350.1588,49922.3742,232.62645,,32243.3131,28303.5213,3983.936066666666,1725.4945,3749.538,68042.8254,99.82813333333335,707.55,13.797933333333331,4192.711175,35397.2528,445.6729333333333,343.387,2184.9
Philippines,2008,0.439,111.32,2118.86,6739.61,1451.69,673.88,0.0,1393.51,0.0,152.74,0.0,11476.8,6257.33,37615.7061,6664.2995,6946.524666666667,46644.5442,57480.334325,60570.30755,337.2286,1423.474,0.0,0.0,0.0,30615.857333333333,11108.802266666666,50109.01896666666,29334.7,9595.39,42303.0604,190.4666,15.0116,0.0,991.08585,102.4823,1249.9030333333333,1132.920775,840.009,17.257933333333334,-35784.5076,41735.6704,2577.87975,,-4119.964300000001,7805.958566666667,2694.1656,960.7575,2065.834,23372.8409,567.39,699.6,49.28993333333333,9062.779975,41780.2616,10.975466666666668,2214.234,5786.466666666667
Singapore,2008,,17.76,4.62,17.37,8.69,4.12,0.0,1.16,0.0,0.08,0.0,9.54,2.9,4.465233333333333,12.031,161.0845666666667,1683.4409500000002,16522.838425,16527.42175,,,0.0,0.0,0.0,0.212,10.417333333333334,10.576333333333332,16037.413333333336,0.3584,10.576333333333332,,0.0,0.0,338.42102500000004,8.0101,,1035.213875,233.4037,0.0,-18.3333,10.576333333333332,3180.682,,-6.1111,0.0,2.316733333333333,4.9025,6.9165,0.0,,91.69,,1675.5087,,0.0,0.212,1655.9733333333334
Thailand,2008,0.327,189.73,4059.17,24321.06,975.13,359.98,0.0,5240.77,12.75,30.97,0.18,10894.89,5453.76,54078.19176666666,12554.958,11764.655133333334,60355.97715,128521.643825,126502.8075,477.3036666666667,2522.005,1022.8,979.5785,43.2215,38459.13653333333,12690.6874,58103.3145,86482.66666666667,11868.5224,55998.72073333333,579.6977,1199.245,0.0,2365.3689,461.2199666666667,3897.643633333333,305.8915,2027.3093666666664,1386.2556000000002,220.9537,51386.41,13242.05,,2691.781766666667,2104.593766666667,2523.575933333333,1119.837,2262.305,2716.0463,4285.784566666667,1749.0,465.5806666666667,16778.491275,47843.1548,207.7736,6607.5895,11979.266666666668
Viet Nam,2008,0.201,143.14,2062.3,8460.75,874.24,193.8,0.0,5801.85,58.98,6.18,18.41,10709.98,4466.12,52170.96193333333,11022.4365,5092.0513,44165.518575,88719.0809,84216.7779,356.90079999999995,2497.7575,4141.2033,3979.2353,161.968,29076.149266666664,16866.7544,48519.33179999999,51074.06666666667,13882.6828,48329.42173333333,899.0305,189.9100666666667,0.0,1989.8984,0.0,0.0,1324.66145,913.3546666666666,380.5478,12888.3333,46167.891266666666,5550.09195,,6003.0706666666665,189.9100666666667,4709.458533333333,1634.2285,2719.0325,0.0,835.1187,1001.7,306.8299,7776.019725,36571.6652,117.00893333333332,4009.45,6979.156666666667
Brunei Darussalam,2009,0.858,4.26,9.76,19.1,13.76,20.08,0.0,6.94,0.0,0.24,0.0,506.86,28.65,455.7320666666667,57.505,111.47596666666668,679.487225,3648.3047,3351.11335,0.055,0.1855,282.0274,270.8709,11.1565,5.2378,46.73726666666667,503.0744,4280.953,8.9936,149.76723333333334,,0.7332666666666667,8.6807,117.561925,0.0,,67.00335,43.28856666666667,0.7332666666666667,-142.027,59.476933333333335,42.2404,,396.2551333333333,353.30716666666666,10.619866666666669,18.3645,26.8445,1040.3603,0.0,18.921,2.0571,302.181425,6.6612,0.0288666666666666,0.954,58.78666666666666
Cambodia,2009,0.403,9.64,1240.43,6730.05,429.07,42.93,0.0,1619.83,643.49,0.27,2.01,7282.26,234.15,20933.600366666666,2080.621,1044.4247666666668,15528.98305,18733.137725,14383.4432,106.777,615.1445,0.0,0.0,0.0,8372.184066666667,5917.401133333333,19340.40723333333,2718.14,6008.5004,15134.131533333331,,2343.4104666666667,0.0,75.87726666666667,,,101.412875,98.2191,4350.037133333333,-1239.929,13996.940500000002,261.0199333333333,,5799.5927,4206.2757,998.7208666666668,406.139,963.381,5588.5957,0.1238666666666666,612.15,11.165399999999998,1023.677625,11687.0096,844.4224666666668,95.9565,656.6566666666666
Indonesia,2009,0.552,1038.67,9741.75,18745.67,5429.82,4415.18,0.0,7266.01,0.0,1772.58,0.0,120803.9,21941.87,284071.9544666666,40604.095,47886.909933333336,308126.25450000004,406610.82585,264902.37055,685.7589333333334,4358.402,271895.262,267327.8545,9134.815,60874.17826666666,27582.20293333333,344846.929,214674.3333333333,24086.0172,168184.58663333333,7898.5336,1697.6542,184962.0215,5407.242875,414.76276666666666,742.5952666666667,1249.49815,2504.473933333333,1717.9048,-298967.33335,95127.3474,11601.81,,188944.60706666668,176662.34236666665,4250.044666666667,3270.047,7642.176,199222.0,444.3362333333334,4213.5,2930.835766666667,49491.05775,69725.572,581.0876666666667,16198.655,25123.4
Lao People's Democratic Republic,2009,0.558,7.12,1470.71,2942.26,235.63,0.0,0.0,7354.46,88.99,0.0,0.0,10791.11,233.65,-14171.633466666666,1232.9125,331.4948,8368.131300000001,-12181.5548,7757.391866666668,41.857800000000005,253.7905,0.0,0.0,0.0,1742.6703333333337,3878.8248,10232.815866666666,1521.2333333333331,3851.764,5893.665333333333,,619.1812666666666,0.0,24.72043333333333,,,381.825975,59.1342,1094.2755333333332,-74259.5744,5767.3132000000005,198.013,,-19938.946666666667,4339.150533333333,688.6384666666667,280.5555,652.9865,11159.9078,126.35213333333331,134.885,0.2417666666666666,693.5194,2251.8748,145.78273333333334,45.58,246.91333333333333
Malaysia,2009,0.742,223.54,1638.44,718.98,583.62,683.67,0.0,1340.19,0.0,15.49,0.0,22747.14,5181.74,48252.72433333334,7796.18075,4225.607466666666,36846.72865,100045.04825,69298.39065,25.357533333333333,164.9625,29140.5278,27974.8988,1165.629,4180.150333333333,2287.4346,36618.81683333334,71456.23333333334,1640.7048,16875.80086666667,1643.1623,146.30073333333334,13095.0343,2294.320775,0.0,,1640.2983,1633.2821333333334,147.33213333333333,35779.5895,6655.500433333334,5282.805,,-32104.0824,19743.01596666667,495.3296,412.7905,665.7595,32600.0771,293.6537333333333,749.95,857.3855,9382.616025,3381.1736,12.492266666666666,2688.6635,6140.733333333333
Myanmar,2009,0.93,67.19,4550.38,16784.26,1258.92,476.1,1.31,12793.06,61.82,4.36,1.16,29137.04,2085.2,89290.71616666667,8995.637,4842.231533333333,70388.155425,74478.138875,45636.1704,309.9955333333333,2395.653,14779.6443,14178.5978,601.0465,25659.0886,23992.14253333333,88222.38923333334,6705.666666666667,24061.1616,55634.0806,176.4574,8173.126066666667,2601.36115,51.370775,0.2735,0.0,392.29975,70.43730000000001,11097.9624,-5350.1588,50834.7582,237.22675,,38455.95796666667,32588.30863333333,4164.341466666667,1795.6665,3884.9,68042.8254,73.12313333333333,1086.5,6.343366666666667,4221.3635,35309.6156,782.8117333333333,318.371,2267.1666666666665
Philippines,2009,0.569,117.11,2113.43,6718.27,1452.09,675.1,0.0,1390.5,0.0,152.9,0.0,11526.69,6229.67,38284.78103333333,6835.6485,7008.342199999999,47387.453725,58435.182325,61527.44055,341.39753333333334,1413.192,0.0,0.0,0.0,31163.68113333333,11217.723133333331,50917.12373333333,29612.0,9617.9832,43113.94816666667,140.246,12.2286,0.0,1054.41995,93.30833333333334,1207.8420333333331,1190.331425,852.9986333333335,14.211266666666669,-35784.5076,42407.792,2764.54655,,-4123.010966666667,7803.175566666666,2765.6583333333333,978.8835,2081.2305,23372.8409,706.1561666666666,707.55,63.90623333333334,9199.610925,42457.8644,26.4054,2362.3425,5859.033333333333
Singapore,2009,,18.27,4.63,16.93,8.62,4.02,0.0,1.14,0.0,0.08,0.0,9.72,2.82,5.1071,12.773,164.85163333333333,1443.80505,16369.152825,16373.73615,,,0.0,0.0,0.0,0.265,11.0434,11.2182,15512.703333333331,0.3612,11.2182,,0.0,0.0,332.15775,2.590733333333333,,793.659725,245.3229,0.0,-18.3333,11.2182,3386.74,,-6.1111,0.0,2.4620666666666664,5.194,7.314,0.0,,104.94,,1435.3914,,0.0,0.265,1687.1333333333332
Thailand,2009,0.429,200.37,4061.71,23815.78,973.45,361.31,0.0,5233.6,12.79,30.97,0.18,10898.02,5950.21,57226.00226666667,14283.5,11775.5909,62527.7248,135164.2517,132622.05785,493.3217333333334,2596.0725,1022.7985,979.577,43.2215,40994.7524,12569.817266666669,61061.43513333334,91054.0,11756.6988,58489.536166666665,604.8802,1666.5502,0.0,2468.893125,388.0876333333333,3683.7909,257.81565,2171.116833333333,2084.0661333333333,220.9537,53836.41046666666,13456.075,,3389.5918,2571.898966666667,2477.4706,1120.5525,2261.2715,2716.0463,4326.600033333333,1809.95,453.0399,16731.64845,49893.718,243.0069333333333,8262.382,12790.933333333334
Viet Nam,2009,0.689,152.31,2069.8,8438.07,873.22,194.2,0.0,5811.03,60.28,6.19,18.44,10685.31,4486.91,55335.80733333333,15583.696,5184.181466666666,46820.520825,95255.8134,90673.071,335.95273333333336,2489.3305,4141.2033,3979.2353,161.968,32210.08,16756.0358,51536.377133333335,54895.533333333326,13562.8444,51400.143,936.5096,113.0762,34.7369,2164.559366666667,0.0,0.0,1351.947225,1095.7307666666668,464.6424,12888.3333,49225.48413333334,6600.0929,,6110.3232,136.23413333333335,4804.1234,1666.6645,2698.3625,0.0,848.2471,1081.2,331.7462,8168.237975,36754.5164,151.37013333333334,8567.3705,7255.486666666667
Brunei Darussalam,2010,0.933,4.76,9.75,18.87,13.75,20.05,0.0,6.9,0.0,0.24,0.0,507.02,28.3,458.2347333333334,36.00025,111.9867,671.517925,4025.1187,3729.449650000001,0.0624666666666666,0.212,280.2265,269.1495,11.077,7.6154,49.02133333333334,505.5770666666667,4162.7570000000005,8.7808,153.72583333333333,,0.0,7.5967,106.6863,0.0,,65.9333,45.34626666666667,0.0,-142.027,42.23163333333333,507.2004,,-423.36595,351.8512333333333,10.84748,19.3715,28.3285,1040.3603,0.0,16.2445,2.2877,292.335125,7.7784,0.0056,3.339,58.73633333333333
Cambodia,2010,1.136,10.31,1246.19,6748.84,429.02,42.91,0.0,1621.67,655.73,0.27,2.21,7236.76,240.23,20001.47583333333,2099.5685,1054.4235333333334,15230.202200000002,18124.559475,14534.26015,109.98713333333336,647.7395,0.0,0.0,0.0,8713.341,5732.116466666666,18875.004666666668,2892.35,5780.4838,15214.657833333333,,1797.4816,0.0,102.70133333333332,,,104.77337500000002,120.3904,3337.5102,-1239.929,14179.968366666668,268.0201333333334,,4787.065766666667,3660.3468333333335,901.5674333333332,393.472,933.33,5588.5957,0.2477666666666667,492.9,14.7183,1073.9487,12132.2908,768.9368,125.027,675.6333333333333
Indonesia,2010,0.755,1056.18,9823.49,18877.64,5428.69,4417.15,0.0,7331.5,0.0,1790.67,0.0,120333.7,22096.34,119727.31663333334,40217.5925,48330.35453333333,186371.6857,280345.852475,262186.48975,684.4019333333334,4387.234,278455.0173,273805.5658,9298.903,60410.84646666667,28867.327666666664,180375.6679,209887.3333333333,25492.4348,169756.18396666666,7452.7913,81.89393333333334,27665.256666666668,6242.398625000001,395.4692333333333,849.8437333333335,1035.545425,3169.348833333333,85.072,-286289.33335,95514.833,11678.465,,24212.483633333333,10619.483933333331,4427.655466666666,3306.405,7860.6685,88679.5,300.6404333333333,3471.5,3186.707666666667,51089.934775,69838.0508,37.3902,15364.382,26294.2
Lao People's Democratic Republic,2010,1.262,7.59,1476.37,2966.78,235.73,0.0,0.0,7352.7,91.01,0.0,0.0,10778.55,215.21,-11599.387733333337,1258.538,336.72883333333334,9534.4421,-9351.975566666666,8399.1635,43.4974,249.577,0.0,0.0,0.0,1809.9007333333327,3983.897533333333,11786.8074,1635.2700000000002,3935.484,6271.883333333334,,1794.9548000000002,0.0,28.553966666666668,,,375.7384,59.51473333333333,3282.083133333333,-74259.5744,6151.751333333334,236.5133,,-17751.139066666667,5514.9240666666665,719.3125333333334,290.8905,670.503,11159.9078,120.132,296.8,0.0,694.33655,2352.434,357.9707333333333,47.5675,256.6
Malaysia,2010,0.968,229.67,1662.71,718.05,583.57,683.2,0.0,1366.93,0.0,16.73,0.0,22618.73,5253.21,45499.68106666666,8446.35825,4276.341066666667,36657.26405,98679.9808,70582.33785,25.821066666666667,163.4255,30117.6792,28913.5722,1204.107,4903.548066666667,2321.1494,34973.8151,72324.36666666665,1608.0386,19075.1862,1669.6389,88.37486666666666,7415.342500000001,2833.866625,0.0,,1927.772525,1684.4954333333335,88.88266666666668,35779.5895,7143.155233333334,5168.469999999999,,-37577.91705,15898.628899999998,515.7638000000001,436.773,692.8425,32600.0771,1401.1716666666669,787.05,1036.3019333333334,10426.902725,3395.9828,8.721666666666666,3760.5355,6333.266666666666
Myanmar,2010,1.228,69.38,4563.51,16704.25,1257.84,474.63,1.31,12765.35,62.3,5.09,1.17,29143.53,2172.43,92014.8187,9201.8335,4914.2164,72744.2318,77318.319175,47132.75685,309.6812,2396.501,14777.9585,14176.912,601.0465,25501.4086,24983.639866666665,91201.6197,7607.5,24916.7296,56730.57253333333,163.6033,9249.156066666666,3811.42395,72.237675,0.5199333333333334,0.0,372.26025,155.0205,12083.274266666667,-5350.1588,51767.40226666667,250.60515,,40247.41643333333,34471.04716666667,4424.9938,1899.785,4021.4545,68042.8254,237.5329333333333,1166.0,19.19983333333333,4343.017025,35108.0464,881.6542666666666,283.0465,2357.3
Philippines,2010,0.902,123.11,2113.9,6468.34,1450.51,675.22,0.0,1390.93,0.0,153.06,0.0,11532.33,6468.34,37744.598300000005,7657.2015,7071.873666666666,46968.80130000001,60264.364025,63260.4865,321.6442,1347.4455,0.0,0.0,0.0,30594.75733333333,11094.6124,50135.86923333333,32358.966666666664,9509.0128,42292.868,30.8836,52.05426666666667,0.0,1089.49445,103.524,1280.6355333333331,1210.083525,884.4034333333333,142.39226666666667,-35784.5076,41739.42826666666,2861.6903,,-3994.829966666666,7843.001233333332,2730.9355333333333,971.702,2064.827,23372.8409,553.4397333333334,760.55,72.36396666666667,9366.899375,40788.9972,50.040866666666666,3273.227,5926.3
Singapore,2010,,18.86,4.68,16.57,8.56,3.94,0.0,1.13,0.0,0.08,0.0,9.82,2.59,5.428966666666667,13.144,167.85826666666665,1501.208,16949.949225,16954.53255,,,0.0,0.0,0.0,0.265,11.3476,11.540066666666666,14820.29,0.364,11.540066666666666,,0.0,0.0,342.82085,3.026,,828.4755,257.4578333333333,0.0,-18.3333,11.540066666666666,4277.65,,-6.1111,0.0,2.534733333333333,5.353,7.526,0.0,,112.18333333333334,,1492.55295,,0.0,0.265,1958.496666666667
Thailand,2010,1.236,211.19,4065.24,23675.9,972.73,361.49,0.0,5226.87,12.97,31.01,0.18,10901.06,6079.75,59613.91016666667,15060.6125,11819.945866666669,64771.601475,142107.277625,139788.6308,526.1413333333334,2813.346,1023.4016,980.1536,43.248,43936.86133333333,12273.175,63577.60693333333,97242.66666666669,11433.5424,61203.5224,578.2506,1271.93,295.20865,2567.3937,419.2237333333333,3967.6004666666654,232.248375,2202.3847666666666,1589.0054666666667,220.9537,56522.38106666666,13636.794999999998,,3091.5291,2374.084533333333,2426.3504,1104.414,2232.2805,2716.0463,4354.423466666667,1865.6,449.767,17088.396275,53435.41,283.5127333333333,8867.324,13193.666666666666
Viet Nam,2010,1.101,162.55,2076.05,8221.6,871.34,196.22,0.0,5816.38,61.26,6.31,18.44,10664.77,4700.85,54228.569266666665,16970.7325,5238.015666666666,46354.640125,98654.58325,93811.66465,951.5699,2551.9235,4144.6272,3982.5267,162.1005,31116.51913333333,16345.143266666666,50279.97143333333,58723.66666666666,12880.3948,49905.98156666666,924.6022,246.621,191.0533,2600.0123333333336,5.752466666666667,30.669666666666668,1364.603675,1168.4240333333332,706.2359333333334,12888.3333,58298.41206666666,7715.093800000001,,-243.97890000000007,373.9898666666666,5178.5343,1642.417,2629.5685,0.0,807.1282000000001,1163.35,355.6692,8644.66155,37012.4888,201.61506666666665,6600.0105,7524.849999999999
Brunei Darussalam,2011,0.597,5.18,9.72,18.67,13.7,20.07,0.0,6.87,0.0,0.25,0.0,507.16,28.01,152.9231,58.459,112.9706,450.358075,4491.688825,4421.18195,0.0587333333333333,0.2385,274.9693,264.1043,10.865,6.034400000000001,45.61666666666667,201.4813333333333,4852.109666666667,6.6192,146.9487,,0.1872666666666666,8.6807,108.533025,0.0,,67.26235,49.45406666666667,0.1872666666666666,-145.6747,58.91393333333334,684.4004,,94.00916666666669,54.53263333333333,10.607066666666666,18.7355,27.1625,145.6747,0.0,16.6155,2.177633333333333,299.247075,7.294,0.0,1.4575,60.274800000000006
Cambodia,2011,0.385,11.2,1256.96,6780.8,429.86,42.75,0.0,1635.38,662.6,0.27,2.21,7166.47,245.64,47195.2354,2185.031,1067.0141666666666,39265.844675,38648.6369,15129.8654,114.31833333333331,680.891,0.0,0.0,0.0,9350.0474,5627.254933333334,50894.149,2945.146666666667,5699.6128,15837.121166666666,,2816.065533333333,0.0,99.15836666666668,,,109.878875,127.22986666666668,5009.695333333333,-17676.8869,14659.2967,289.35380000000004,,31358.362000000005,35057.02783333333,958.9667333333332,387.748,915.045,96722.8869,0.2477666666666667,604.2,20.4032,1095.232925,12971.3556,859.5887333333334,201.347,698.98
Indonesia,2011,0.3,1075.2,9887.62,18502.79,5421.13,4421.26,0.0,7381.98,0.0,1819.8,0.0,119956.7,22688.89,294568.7911333333,41932.6725,48764.01513333333,280370.16325,451471.31335,303382.4375,662.6089333333333,4297.6905,285457.29585,280733.51185,9447.568,60310.03160000001,30226.649266666664,303475.2976333333,260717.0,26309.486,175375.7359666667,8094.1045,570.9106666666667,149268.58616666668,7562.9753,251.13156666666669,676.293,1136.68125,4124.7042,591.6848666666666,-195745.26395,97116.95666666668,12250.044999999998,,197451.83446666668,128099.56166666666,4687.3151333333335,3616.879,8382.639,161012.09725,3127.438066666666,4319.5,2237.8658666666665,52763.690025,68985.574,281.8776,16187.896,27462.9
Lao People's Democratic Republic,2011,0.041,8.06,1482.48,2963.48,236.35,0.0,0.0,7342.96,91.15,0.0,0.0,10772.46,227.0,12054.098666666669,1293.889,342.83796666666666,10118.86555,14243.390933333334,8092.601933333334,42.53026666666667,248.676,0.0,0.0,0.0,1742.6698666666668,4076.3718666666655,12557.436833333331,1678.88,4040.974,6033.1567,,470.7488,0.0,30.4055,,,376.134025,59.19416666666667,628.789,-1594.594,5903.309666666667,253.5134,,6150.789,6524.280133333334,721.0905333333334,297.3565,694.5915,18160.594,129.84703333333334,114.215,0.4344666666666666,700.787925,2248.2684,84.26793333333333,53.265,265.26
Malaysia,2011,0.576,236.19,1673.36,715.53,620.05,684.17,0.0,1376.18,0.0,18.07,0.0,22535.36,5273.89,-30049.1473,7898.65625,4314.0877666666665,27652.731525000003,42670.514525,71284.05725,26.1209,168.752,30542.1729,29321.3709,1220.802,5029.7802,2256.1481333333336,23323.1246,72705.83333333333,1497.9706,19071.63853333333,1821.7784,30.6344,6331.2775,2661.87165,0.0,,1977.322725,1692.4112666666667,30.6344,-199558.095,7123.3615,5400.15,,-93727.727725,4251.486066666666,502.74556666666666,450.023,706.7285,1780.215,1195.6052333333334,795.0,747.8329333333332,10160.388075,3444.2352,2.448533333333333,3895.818,6507.133333333334
Myanmar,2011,0.512,72.1,4574.84,16626.33,1256.95,476.87,1.31,12718.87,62.27,6.03,1.17,29167.33,2256.72,79828.99106666667,9669.7175,4972.144566666667,65171.8536,68659.68985,46811.891650000005,295.714,2217.3875,14773.3536,14172.4661,600.8875,24306.296466666667,25560.38813333333,80965.50833333335,8465.666666666666,25493.1852,55603.90263333333,222.0317,4910.652466666666,1336.315,81.581075,2.5739666666666667,0.0,396.9662,143.7859,5851.81,-5689.563,50698.593466666665,258.32155,,29130.3976,25361.6057,4424.253333333333,1936.3285,4274.715,58680.2297,181.1538,728.75,25.707866666666664,4447.72235,33158.0844,431.3014,640.399,2421.333333333333
Philippines,2011,0.472,129.57,2115.09,6548.06,1448.41,676.48,0.0,1391.84,0.0,153.07,0.0,11533.37,6379.85,35211.42426666667,7213.4855,7165.6084,41504.65725,58988.83395,64154.419,334.2693333333333,1425.1435,0.0,0.0,0.0,31523.744733333337,10551.118133333332,42603.1059,32779.5,9067.3492,42591.52483333333,389.0452,11.581066666666668,0.0,1096.9594,99.35806666666667,1268.1678,1230.2431,869.8105999999999,13.219933333333332,-20702.0,42098.871,2876.7157500000003,,-6887.446733333333,11.581066666666668,2554.4053333333336,936.3245,1991.3955,0.0,492.6538333333333,720.8,100.8737,9552.327825,42498.4448,24.01,2860.622,6344.7
Singapore,2011,,19.39,4.72,16.03,8.55,3.9,0.0,1.13,0.0,0.08,0.0,9.9,2.54,35.75483333333333,12.8525,170.79610000000002,1527.912125,14696.021125,14677.6878,,,0.0,0.0,0.0,0.265,11.133733333333334,35.28496666666667,11802.696666666665,0.364,11.3104,,0.0,0.0,343.420725,2.1030333333333333,,821.4105,275.92393333333337,0.0,1.4096,11.3104,4246.42,,24.444433333333333,23.974566666666664,2.4994,5.2205,7.367,71.9237,,116.07,,1501.4484,,0.0,0.265,1978.28
